Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM & LSTM,MA,6586.436286,6.755500,7.034196,6.721124,52469529.893413,7243.585431,7.306141
,EMA,6364.535426,6.524349,6.782055,6.473961,48682647.011336,6977.295107,7.034115
,STD,3874.347109,4.000050,4.107106,3.814960,20162655.334130,4490.284549,4.599408
,MACD,4425.647175,4.526352,4.660855,4.366011,25949360.771338,5094.051509,5.133534
,BB,4355.565224,4.449401,4.577574,4.242819,25004679.987789,5000.467977,5.028446
,STD+EMA+MACD+BB,8767.511098,9.023119,9.497770,8.996429,87715475.246156,9365.654021,9.482294
,STD+EMA+MACD+BB+MA,9413.843674,9.752837,10.320939,9.743413,102076726.025554,10103.302729,10.341845
,MA+STD+EMA+MACD,9338.336543,9.604632,10.143579,9.597664,99447751.041156,9972.349324,10.085777
