Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM,8 states,76.594648,2.911914,2.898182,-0.635347,11578.482260,107.603356,4.147265
,10 states,77.556837,2.958284,2.938850,-0.830804,11703.777485,108.183998,4.183960
,15 states,96.671497,3.801581,3.723234,-2.581158,15187.848926,123.238991,4.913736
,20 states,76.502388,2.907404,2.894341,-0.612454,11564.193480,107.536940,4.143257
