Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM,10 states,2.195154,1.744349,1.737995,-0.042193,13.362796,3.655516,3.000490
,15 states,2.192993,1.742572,1.736341,-0.035922,13.361813,3.655381,3.000063
,20 states,2.190677,1.740226,1.734678,0.002438,13.370812,3.656612,2.999534
