Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM,8 states,1986.339861,2.137640,2.118117,-1.138951,6485626.472108,2546.689316,2.785901
,10 states,1678.155198,1.796711,1.804713,0.291156,5472535.722195,2339.345148,2.542396
,15 states,1713.616040,1.840295,1.841451,-0.054328,5680776.459767,2383.437950,2.603133
,20 states,3107.933548,3.336354,3.268151,-2.947367,12939328.591142,3597.127825,3.915246
