Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM & LSTM,MA,4.809245,3.794048,3.774771,0.212052,36.597487,6.049586,4.934609
,EMA,4.291197,3.293780,3.336535,1.786733,29.858247,5.464270,4.212576
,STD,6.989834,5.300180,5.392442,2.776562,66.410486,8.149263,6.156442
,MACD,6.099521,4.573091,4.688542,3.515594,53.440145,7.310277,5.414706
,BB,4.606632,3.617572,3.605006,0.313170,34.019502,5.832624,4.707734
,STD+EMA+MACD+BB,15.369352,11.278199,12.106220,10.600378,306.924272,17.519254,12.539680
,STD+EMA+MACD+BB+MA,17.315429,12.769662,13.805225,12.238856,372.735493,19.306359,13.899607
,MA+STD+EMA+MACD,12.778294,9.436362,9.986919,8.063716,218.294955,14.774808,10.686698
