time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
2021-01-17,1227.76,1268.83,1165.78,1232.99,29258032819,103.04999999999995,0.0047671822285964005,1198.07,1058.8674999999998,788.9778,646.1427272727273,613.8303999999999,479.2801,1201.6649958371377,46.35053289876502,1065.1117418145054,201.52478157327906,857.87799683656,257.44090585077043,692.6114238112563,256.7728825833083,136.55325402263225,343.7869990005777,509.0535720258814,207.23374497794543,372.50031800324916,165.26657302530373,1461.917063146558,655.8179368534418
2021-01-18,1232.6,1261.0,1181.9,1258.48,25817455560,79.09999999999991,0.020673322573581343,1223.606,1085.2035,802.6122,655.7311363636364,622.7076999999999,484.44010000000003,1220.6033305580918,33.38100627601678,1083.5277664036003,190.65077606299167,873.5878793135577,263.9424898034278,703.8167421516274,263.5404515395822,137.07556415449153,347.0154512445341,516.7865884064644,209.9398870900426,379.71102425197284,169.77113716193026,1466.5050521259834,703.9019478740167
2021-01-19,1258.55,1440.0,1252.01,1368.04,47195935190,187.99,0.08705740258089123,1250.95,1115.9625,817.633,666.6234090909091,632.6443,490.155,1269.7488870387278,73.34911246906422,1110.6241696032573,183.7086669552464,892.9781585561633,274.3300464489696,716.969677950605,272.657764155086,159.12471743547053,376.77072848256455,552.7792090881228,217.64601104709402,393.65449165265227,176.00848060555825,1483.3798339104928,748.5451660895073
2021-01-20,1367.7,1408.5,1234.01,1376.88,46784030909,174.49,0.006461799362591947,1292.7060000000001,1147.923,833.45,677.5813636363637,642.5457,495.8927,1305.4592580258186,73.8186865231249,1135.9818677362805,169.48402610958874,911.9547013578824,283.3545456253182,730.0372090802961,281.4733505380952,169.4773902895381,393.5045566679362,575.4220489455225,224.02716637839808,405.9446586559844,181.91749227758635,1486.8910522191775,808.9549477808225
2021-01-21,1377.15,1390.0,1081.0,1110.62,45932464754,309.0,-0.19337923421067937,1269.402,1166.9045,843.7154,685.5831818181819,649.8382,500.30744999999996,1240.5128386838792,109.47353890324104,1133.5664517613966,138.81534639395483,919.7454973830635,283.92335861672956,737.5735019697952,284.0731910182887,106.94638692248259,320.7673413008157,502.939336714084,213.8209543783331,395.9929497916014,182.1719954132683,1444.5351927879096,889.2738072120904
2021-01-22,1110.61,1275.99,1039.62,1233.6,43918338506,236.37000000000012,0.11073094307683995,1269.524,1189.8195,856.0544,695.1340909090909,658.3845,505.2672,1238.2085591225862,109.42314416977528,1143.0934563555493,104.30637269096913,932.0535170935316,287.2405649054179,747.3958088614824,288.6605174772825,95.11510276703689,306.1550420290546,490.8127502611038,211.0399392620177,395.6976474940669,184.65770823204923,1398.4322453819384,981.2067546180618
2021-01-23,1233.42,1272.0,1196.74,1234.55,27253895441,75.25999999999999,0.0007701037613490058,1264.7379999999998,1202.525,869.3934000000002,704.565909090909,666.9506,510.24309999999997,1236.9890394150575,110.5445381735318,1151.8036033693065,92.23796920551689,943.9161242663342,289.0521630955991,757.0424265077896,292.9326516102879,85.18543604575098,293.07291514872327,479.9466129072679,207.8874791029723,394.7611768615169,186.8736977585446,1387.000938411034,1018.0490615889663
2021-01-24,1234.47,1401.92,1221.66,1394.0,36418163554,180.26,0.12915637276740521,1269.9299999999998,1220.1060000000002,885.3276000000001,715.9905681818182,677.2348999999999,515.9774,1289.326026276705,117.02879645625443,1174.8699268579442,93.60708466215236,961.5664723343211,295.63088487517933,769.6554477650611,300.2076416247409,114.45609941876091,327.75955394238395,519.670578511644,213.30345452362303,405.21447909288304,191.91102456926,1407.320169324305,1032.8918306756955
2021-01-25,1394.04,1477.3,1293.65,1317.97,43565777745,183.64999999999986,-0.05454088952654235,1258.148,1230.8179999999998,899.648,726.5629545454545,686.7298,521.35725,1298.8740175178034,106.01700132525646,1188.4985052524257,91.83007474334545,975.543081262387,298.9473461863086,780.5131616707034,305.3154478749326,110.37551226537767,323.3309362554164,518.3608558471,212.95542399003875,407.9853435817223,195.02991959168355,1414.4781494866907,1047.1578505133089
2021-01-26,1317.98,1378.12,1245.0,1367.98,41572917750,133.1199999999999,0.03794471801330834,1309.62,1238.616,915.1782,737.7585227272727,696.6238000000001,526.99115,1321.909345011869,74.17907690177451,1205.591980942671,96.64540811375198,990.9327643501365,302.7563208439743,792.1461683702935,311.2031257236366,116.31736406919799,330.97658066173244,529.7631766415755,214.65921659253445,413.44581257237746,198.786595979843,1431.906816227504,1045.325183772496
2021-01-27,1367.97,1375.91,1206.05,1240.96,39394416990,169.86000000000013,-0.0928522346817936,1311.092,1239.297,928.9016,747.4655681818182,705.2398,532.0001,1294.9262300079126,72.34373345355746,1208.9603637100356,96.60975057578703,1000.7377539834645,301.63654443081526,801.0335709768224,314.2429285270434,85.96586629787703,294.18847602444816,493.89265903109026,208.22260972657114,407.92679273321323,199.7041830066421,1432.5165011515742,1046.0774988484259
2021-01-28,1240.62,1363.27,1220.08,1333.19,34637234789,143.19000000000005,0.07432149303764835,1330.8200000000002,1245.089,944.0978,758.1051136363636,714.8836,537.452,1307.680820005275,58.34838686715642,1220.7917576424131,98.67509513016627,1013.7750969645051,302.4982010220751,811.5713220465883,318.5819170666448,86.88906236286198,293.90572304077,496.1094979586868,207.01666067790802,409.2204355958248,202.2037749179168,1442.4391902603325,1047.7388097396674
