time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
1/27/2021,32510.82,32584.62,29156,30407.13,62576762015,3428.62,-0.06470738,31916.078,35257.6,29434.3238,24137.31341,22817.951,16847.24455,31904.12489,855.4744896,33284.26659,3013.58922,29954.40029,6799.171452,24908.72926,8357.321577,-1380.141708,1949.724595,6995.395622,3329.866303,8375.53733,5045.671027,41284.77844,29230.42156
1/28/2021,30414.11,34000,29902.14,33488.99,76517157706,4097.86,0.101353202,32191.474,34898.792,29733.1726,24361.37477,23033.6026,16968.17265,32432.41326,1116.220681,33303.76406,2751.690394,30093.01165,6637.308064,25078.63542,8351.601921,-871.3508037,2339.401606,7353.77784,3210.752409,8225.128644,5014.376235,40402.17279,29395.41121
1/29/2021,33487.92,38570.13,31990,34262.11,1.17895E+11,6580.13,0.023085796,32586.184,34599.026,30053.346,24596.58943,23248.1437,17093.2986,33042.31217,1456.272834,33395.0351,2446.881691,30256.5057,6455.879335,25260.4864,8361.823934,-352.7229312,2785.806467,7781.825773,3138.529398,8134.548704,4996.019306,39492.78938,29705.26262
1/30/2021,34262.11,34900,32852.86,34315.63,65141828798,2047.14,0.001562075,32996.936,34406.229,30378.8156,24827.04205,23461.4298,17218.59205,33466.75145,1622.123619,33482.71081,2297.953313,30415.68705,6244.74021,25439.79617,8369.460688,-15.95935955,3051.064398,8026.955275,3067.023758,8042.914634,4975.890877,39002.13563,29810.32237
1/31/2021,34315.63,34387.75,32200,33137.74,52754542671,2187.75,-0.034325175,33122.32,34290.4865,30665.1448,25042.68136,23663.4363,17338.32995,33357.08097,1599.222577,33449.85644,2300.771789,30522.43422,6028.466567,25592.2307,8356.650975,-92.7754795,2834.646741,7764.850261,2927.422221,7857.625741,4930.20352,38892.03008,29688.94292
2/1/2021,33137.75,34728.57,32333,33533.19,61400400660,2395.57,0.011933524,33747.532,34265.197,30952.4756,25246.37432,23867.5058,17460.34535,33415.78398,517.7254576,33457.79297,2306.454524,30640.50308,5807.56087,25749.47742,8345.8954,-42.00899694,2775.280899,7666.306554,2817.289896,7708.315551,4891.025655,38878.10605,29652.28795
2/2/2021,33534.39,36000,33450,35512.67,63088585433,2550,0.059030471,34152.268,34171.1475,31277.2816,25472.65523,24092.1825,17592.13725,34114.74598,908.5662665,33653.49555,2208.439779,30831.56845,5591.093425,25942.80797,8354.021767,461.2504369,3283.177537,8171.938016,2821.9271,7710.687579,4888.760479,38588.02706,29754.26794
2/3/2021,35513,37723.72,35393.8,37678.37,61166818159,2329.92,0.060983869,34835.52,34098.809,31641.957,25732.24932,24338.2783,17734.64985,35302.62066,1829.558295,34036.81692,2056.067141,31100.07047,5394.759608,26175.19534,8388.418714,1265.803732,4202.550187,9127.425321,2936.746455,7861.621588,4924.875133,38210.94328,29986.67472
2/4/2021,37688.42,38769,36156.45,36975,68838074392,2612.55,-0.01866774,35367.394,34109.8255,31954.264,25976.47773,24571.0465,17873.4605,35860.08044,2017.533984,34316.64388,2071.578085,31330.45986,5237.047886,26389.05285,8413.101989,1543.436554,4529.620575,9471.027584,2986.184021,7927.59103,4941.407009,38252.98167,29966.66933
2/5/2021,36976.59,38349,36605.87,38311.49,58598066402,1743.13,0.036145774,36402.144,34225.053,32263.9642,26237.49182,24821.3509,18019.2127,36677.21696,1912.104861,34697.10542,2239.909221,31604.22575,5143.271865,26625.14072,8446.096917,1980.11154,5072.991208,10052.07624,3092.879668,8071.9647,4979.085032,38704.87144,29745.23456
2/6/2021,38327.09,41000,38250,39265.43,71326033653,2750,0.02489958,37548.592,34397.3245,32586.5176,26509.65545,25079.4052,18168.56915,37539.95464,1416.013293,35132.18395,2487.808886,31904.66513,5064.361099,26875.44348,8489.572145,2407.770689,5635.289506,10664.51116,3227.518818,8256.740474,5029.221656,39372.94227,29421.70673
2/7/2021,39266.1,39737.83,37371.35,38871.42,65500641143,2366.48,-0.010034527,38220.342,34509.684,32886.9462,26772.90125,25332.4043,18315.24535,37983.77643,917.7458517,35488.30167,2639.78266,32177.87121,4980.369895,27112.98757,8520.08788,2495.474757,5805.90522,10870.78886,3310.430463,8375.314103,5064.88364,39789.24932,29230.11868
2/8/2021,38871.43,46750,38057.01,46448.1,1.01467E+11,8692.99,0.194916471,39974.288,35036.225,33346.378,27115.37045,25658.8372,18499.41965,40805.21762,3721.211664,36532.09199,3751.491906,32737.48802,5151.173503,27495.86108,8697.456485,4273.125631,8067.729596,13309.35654,3794.603965,9036.230907,5241.626942,42539.20881,27533.24119
2/9/2021,46453.66,48200,45020,46514.73,91809846886,3180,0.001434504,41882.234,35586.807,33822.0846,27458.27011,25986.2686,18684.23725,42708.38841,4212.185548,37482.81942,4547.268945,33277.77202,5248.061388,27872.47235,8860.233294,5225.568995,9430.616391,14835.91607,4205.047396,9610.347071,5405.299675,44681.34489,26492.26911
2/10/2021,46514.73,47349.99,43706.86,44850,87301089896,3643.13,-0.035789308,43189.936,36286.5095,34242.6192,27785.17909,26299.1364,18859.9306,43422.25894,3823.5137,38184.45566,4847.731467,33731.58488,5272.882931,28208.66101,8968.851411,5237.803279,9690.674059,15213.59793,4452.87078,9975.794651,5522.923871,45981.97243,26591.04657
