Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM,8 states,2.097520,0.972433,0.971181,-0.062666,14.706464,3.834901,1.841502
,10 states,2.135591,0.990192,0.988151,-0.134557,14.784552,3.845069,1.848077
,15 states,2.096204,0.971858,0.970581,-0.064913,14.707515,3.835038,1.841634
,20 states,2.104618,0.975599,0.974479,-0.050869,14.705189,3.834734,1.841130
