Model,Feature,MAE,MAPE,sMAPE,MPE,MSE,RMSE,RMSPE
HMM & LSTM,MA,85.352459,3.180972,3.211513,0.682571,14068.647544,118.611330,4.438432
,EMA,79.970060,3.034801,3.041815,-0.082881,12669.736006,112.559922,4.303744
,STD,85.168125,3.218247,3.217265,-0.357817,14003.380524,118.335880,4.515540
,MACD,76.327026,2.881945,2.897786,0.183674,11937.980767,109.261067,4.175171
,BB,82.547691,3.134174,3.139832,-0.007494,12751.270606,112.921524,4.323645
,STD+EMA+MACD+BB,82.545955,3.125274,3.145219,0.311290,13204.989557,114.912965,4.376698
,STD+EMA+MACD+BB+MA,83.757949,3.192999,3.197055,-0.186724,12894.396567,113.553496,4.351630
,MA+STD+EMA+MACD,81.327279,3.088997,3.094600,-0.213065,13087.037336,114.398590,4.372465
